meeting_key,race_name,driver_number,driver_name,practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,race
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,23,Alexander ALBON,13,13,13,,,16,11
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,27,Nico HULKENBERG,10,6,4,,,10,14
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,24,ZHOU Guanyu,8,9,12,,,5,16
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,28,Alejandro GARCIA,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,77,Valtteri BOTTAS,6,7,10,,,7,12
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,3,Daniel RICCIARDO,14,14,18,,,13,13
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,25,Hugh BARTER,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,31,Esteban OCON,17,5,19,,,12,19
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,20,Kevin MAGNUSSEN,11,15,15,,,19,17
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,55,Carlos SAINZ,15,10,8,,,11,8
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,17,Caio COLLET,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,4,Lando NORRIS,4,2,5,,,3,2
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,7,Kaylen FREDERICK,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,2,Logan SARGEANT,9,17,17,,,20,18
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,81,Oscar PIASTRI,2,19,14,,,4,5
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,22,Yuki TSUNODA,12,4,20,,,17,15
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,9,Nikola TSOLOV,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,11,Sergio PEREZ,16,18,3,,,9,3
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,44,Lewis HAMILTON,20,16,1,,,1,4
